score,title,year,authors,doi,url,type,databases,queries
10,A Comparative Evaluation of LLM-based Coding Agents for Automated Software development Tasks,2026,Jahnavi Bellapukonda,10.2139/ssrn.6755658,https://doi.org/10.2139/ssrn.6755658,posted-content,Crossref,software delegation contracts coding agents
10,EATF-MultiRoot: A Reproducible Verifier and Corpus for AI-Agent Evidence Packages,2026,Anton Sokolov,10.2139/ssrn.6987749,https://doi.org/10.2139/ssrn.6987749,posted-content,Crossref,AI coding agent reviewability acceptance evidence; evidence self-authorship AI agent; solver verifier independence AI
10,"Review of: ""From Augmentation to Delegation: AI Coding Assistants and the Redistribution of Cognitive Labor in Software Development""",2026,Vikas Jain,10.32388/11zb9l,https://doi.org/10.32388/11zb9l,peer-review,Crossref,software delegation contracts coding agents
9,Autonomous AI and Agentic Testing Agents: A Multi-Agent Architecture for Self-Directed Software Quality Assurance,2026,Urvish Gajjar,10.21203/rs.3.rs-10220882/v1,https://doi.org/10.21203/rs.3.rs-10220882/v1,posted-content,Crossref,AI-assisted software assurance independent review; assurance case autonomous AI agent
9,Runtime Governance for Agentic AI: Action-Boundary Control with Trusted Provenance and Fail-Closed Execution,2026,Adam Mazzocchetti,10.2139/ssrn.6783978,https://doi.org/10.2139/ssrn.6783978,posted-content,Crossref,AI agent execution provenance evidence tracing; AI agent runtime governance policy actions
9,Autonomous AI and Agentic Testing Agents: A Multi-Agent Architecture for Self-Directed Software Quality Assurance,2025,Urvish Gajjar,10.51219/jaimld/urvish-gajjar/687,https://doi.org/10.51219/jaimld/urvish-gajjar/687,journal-article,Crossref; Semantic Scholar,assurance case autonomous AI agent
8,A Multi-Agent AI Framework for Automated Requirement-to-Test Case Mapping in Software Quality Assurance,2026,Shailjakant Shukla; Manav Bansal; Arpit Chhabra,10.25258/ijddt.16.48s.109,https://www.semanticscholar.org/paper/65190533f6732d3b3352a4baee89fd89b6ba8e7b,JournalArticle,Semantic Scholar,assurance case autonomous AI agent
8,"Agentic Agent, Better Agent: Evidence from Agentic AI in Telemarketing",2026,Yu Kan; Mingrui Zhang; Wenkang Qiu; Fengwen Chen; Yong Tan,10.2139/ssrn.6502379,https://doi.org/10.2139/ssrn.6502379,posted-content,Crossref,AI agent execution provenance evidence tracing; AI coding agent reviewability acceptance evidence; evidence self-authorship AI agent
8,ContextNest: Verifiable Context Governance for Autonomous AI Agent,2026,Misha Sulpovar; B. Konsynski; Qaish Kanchwala; Gabe Goodhart PromptOwl; Llc; Goizueta Business School; Emory University; Ibm Research,,https://www.semanticscholar.org/paper/463059f667ec7da4efc11772056c2ca956b610e9,,Semantic Scholar,assurance case autonomous AI agent
8,Continuous Assurance as Governance Infrastructure: A Critical Examination of AI-Enabled Oversight in Public-Sector Project Management,2026,Roni van der Fehr,10.2139/ssrn.6374819,https://doi.org/10.2139/ssrn.6374819,posted-content,Crossref,continuous assurance AI systems revalidation
